IDS_SCENARIO_GAISERIC "Gaiseric (406)"
396308 "1. A Viking king is not told what to do. Explore, conquer, and settle to create your own sagas.\n\n2. You are a raider. Destroy enemy buildings for gold based on their value. Sometimes, even a modest farm house can hold unexpected riches.\n\n3. Capture Warrior's Halls (Wonders) in Scandinavia to increase your population limit. It is also the only way to unite the kingdoms of Norge, Sverige, and Danmark.\n\n4. Discover saga objectives and rebuild Pagan Shrines (special trees cut by Christians) to earn Runestones (Stone). Runestones can be used to research powerful technologies at the Warrior's Hall and Pagan Shrine.\n\n5. Once you rule a kingdom, you can obtain Runestones or other bonuses at the Warrior's Hall by holding a Blót. You can also pray to the gods for temporary bonuses at the Pagan Shrine. A wise king makes use of the gods.\n\n6. Settle foreign lands by building Longhouses (Folwarks) at locations marked with a round Flare -- your first Longhouse in a new land will spawn a Villager. You may also capture Villagers during your raids.\n\n7. A few units have been modified: Huskarls are heavily armored, Longboats have reduced range, and ships move more quickly.\n\n8. Raiding is dangerous, especially when you have few warriors. When outnumbered, it is better to run away to fight another day.\n\n9. The sea is always the fastest way to get anywhere.\n\n10. Ships degrade over time. Bring Villagers on raids to repair damaged ships. The open sea in the west will damage ships more quickly. Repair at islands if seeking lands to the west.\n\n11. Ireland and the islands off Scotland are attractive targets for early raids.\n\n12. Purchase Supplies at Mills and Longhouses if you need Food and have Gold to spare.\n\n13.  Other Viking warbands indiscriminately raid the coasts. They may even attack your Warrior's Halls or clash with your own raiders over plunder."
396309 "Your scouts report:\n\n- Do not be tempted so early by the great wealth of England and Francia. A would-be Viking should make a name for himself by raiding Ireland and the islands off Scotland. The Monasteries there are close to the sea and ripe for the taking.\n\n- The islands, too, are ideal for small raiding camps where Villagers can fish and herd livestock, and repair your ships. Livestock can also be taken in raids and brought to these camps for harvesting. Fishing and herding will always be preferable to farming. Do not neglect such settlements as they will provide the food to recruit warbands.\n\n- Second, many Viking heroes seek a good jarl. Search and find Hrolf the Ganger, Olaf the White, Hasteinn, and others on your journeys.\n\n- England is divided between kingdoms. The Northumbrians in the north fight as slow-moving infantry and cavalry, while the men of Wessex are archers, cavalry, and heavily-armored footmen. Until you command a large army, do not challenge their cities of Eoforwic and Lundenburh. Instead, hit their coastal settlements and retreat to the ships when they send their armies against you. In this manner, wear them down and preserve your strength. When the time comes for conquest, preserve the English farms as your people can settle on them.\n\n- Same for Francia and the lands further east, though raids there will need to make use of the rivers. Paris is insurmountable for all but the largest armies, but other cities can be plundered with effort. The Saxons of Germany are now subjects of the Franks and will fight you. But their lands hold many sacred World Trees cut down by Christian missionaries. Restoring these by building shrines over their stumps will bring you fame.\n\n- Further east, Garðaríki is a dark land traversed best by rivers. Its dense forests turn to open steppe where nomadic tribes roam. There is not much to raid here, but trade may be a possibility.\n\n- As for your own people's lands, it is divided among independent jarls. The Norse need a unifying ruler who can unite the three kingdoms and deliver the Norse people to greatness.\n\n- Lastly, the sea is your road. Use it."
396310 "Viking Funeral"
396311 "Build <b>Warrior's Hall<b> (<cost>)\nA feasting place where Vikings gather. Enables training of Viking units. Build in enemy territory when attacking cities to reduce travel times.\n<hp> <attack> <armor> <piercearmor> <range>"
396312 "Build <b>Pagan Shrine<b> (<cost>)\nA shrine to the Old Gods. Construct over chopped World Trees to gain Runes.\n<hp> <attack> <armor> <piercearmor> <range>"
396313 "Build <b>Longhouse<b> (<cost>)\nA warm fire in a cold land. Used as a gathering point for food resources.\n<hp> <attack> <armor> <piercearmor> <range>"
396314 "Máel Brigte"
396315 "Hrørek"
396316 "Sigurd Eysteinsson"
396317 "Rognvald Eysteinsson"
396318 "Ketill Flatnose"
396319 "Aud the Deep-Minded"
396320 "Grímr Kamban"
396321 "Olaf the White"
396322 "Aslaug"
396323 "Rurik the Troublemaker"
396324 "Dyre the Stranger"
396325 "Erik the Swift"
396326 "Olaf the Stout"
396327 "Baleog the Fierce"
396328 "Hrolf the Ganger"
396329 "Máel Sechnaill"
396330 "Robert the Strong"
396331 "Causantín mac Cináeda"
396332 "King Æthelred"
396333 "Earl Alfred"
396334 "Hasteinn"
396335 "Jarl Eirik"
396336 "Jarl Halfdan the Black"
396337 "King Harald Klak"
396338 "King Ragnfrid"
396339 "Jarl Eysteinn Beli"
396340 "Sibilja"
396341 "King Rhodri"
396342 "Papar"
396343 "Saami"
396344 "Frisians"
396345 "Saxons"
396346 "King Edmund"
396347 "Ragnar Lothbrok"
396348 "Serpent"
396349 "Trade for <b>Supplies<b> (<cost>)\nExchange gold for food at an equal rate."
396350 "Leidangr"
396351 "Shield Wall"
396352 "Ulfberht Swords"
396353 "Research <b>Leidangr<b> (<cost>)\nNorse Warrior gold cost is replaced by additional food cost."
396354 "Research <b>Shield Wall<b> (<cost>)\nInfantry damage adjacent units."
396355 "Research <b>Ulfberht Swords<b> (<cost>)\nInfantry have +4 attack."
396356 "Dane Axes"
396357 "Research <b>Dane Axes<b> (<cost>)\nInfantry get attack bonus vs. cavalry and additional Gold from civilian units."
396358 "River Raids"
396359 "Bearded Axes"
396360 "Wolf Cloaks"
396361 "Research <b>River Raids<b> (<cost>)\nNorse Warriors move 30% faster."
396362 "Research <b>Bearded Axes<b> (<cost>)\nThrowing Axemen and Jarls have +1 range."
396363 "Research <b>Wolf Cloaks<b> (<cost>)\nNight attack bonus is doubled to +4 attack at night."
396364 "Roman Wall"
396365 "+ Complete <Saga Count>/30 of 50 saga objectives."
396366 "+ Capture Jomsborg to defeat the Jomsvikings."
396367 "Free Play: Declare Victory at the Warrior's Hall to end the scenario."
396368 "\nQuest: Ragnar's Saga (<Ragnar Saga Count>/9 objectives)\nBecome king of the Norse lands."
396369 "   Found the shieldmaiden Lagertha and defeated her bear and hound."
396370 "   Rescued Thora Fortress-Hart from the serpent on Gotland."
396371 "   Found Aslaug, disguised as the peasant girl Kraka."
396372 "   Stole the cow Sibilja from Jarl Eysteinn Beli."
396373 "   Defeated Jarl Eysteinn Beli."
396374 "   Became King of Norge."
396375 "   Became King of Sverige."
396376 "   Became King of Danmark."
396377 "   Sacked Paris."
396378 "\nQuest: Saga of Ragnar's Sons (<Saga of Ragnar Sons Count>/7 objectives)\nRaid, conquer, and settle England."
396379 "   Sacked Eoforwic (York)."
396380 "   Killed King Aella of Northumbria."
396381 "   Sacked Lundenburh (London)."
396382 "   Killed King Edmund of Anglia."
396383 "   Built a settlement in England."
396384 "   Built a jarldom in England."
396385 "   Raised the Great Heathen Army."
396386 "\nQuest: Hrolfr Kraki's Saga (<Hrolfr Kraki Saga Count>/2 objectives)\nFind a king's legacy in Sverige and Danmark."
396387 "   Found the Skofnung, the sword of Hrolfr Kraki, at his barrow."
396388 "   Found Hrolfr Kraki's gold in the Fyris Wolds of Sverige."
396389 "\nQuest: The Tale of Hrørek of Dorestad (<Hrorek Saga Count>/4 objectives)\nRaid the Franks in Saxon lands."
396390 "   Recruited Hrørek in Frisia."
396391 "   Captured Dorestad."
396392 "   Destroyed the towers on the Rhine River."
396393 "   Pillaged the villages along the Elbe River."
396394 "\nQuest: Orkneyinga Saga (<Orkneyinga Saga Count>/5 objectives)\nExplore and settle the Northern Isles."
396395 "   Recruited the Eysteinsson brothers, Sigurd and Rognvald."
396396 "   Built a settlement in Orkney."
396397 "   Built a settlement in Shetland."
396398 "   Killed the Pictish giant Máel Brigte."
396399 "   Plundered the monasteries in the Hebrides. "
396400 "\nQuest: The Landnama (<Landnama Count>/7 objectives)\nExplore the Western Isles and beyond."
396401 "   Recruited Ketill Flatnose and his daughter, Aud the Deep-Minded."
396402 "   Recruited Grímr Kamban."
396403 "   Built a settlement in the Faroes."
396404 "   Built a settlement in the Hebrides."
396405 "   Built a settlement on the Isle of Man."
396406 "   Found a land of fire and ice."
396407 "   Built a settlement in Iceland."
396408 "\nQuest: The Annals of Ireland (<Ireland Count>/4 objectives)\nRaid and settle Ireland."
396409 "   Recruited Olaf the White."
396410 "   Killed the High King Máel Sechnaill."
396411 "   Sacked the Monasteries of Ireland."
396412 "   Built a settlement in Ireland."
396413 "\nQuest: Chronicle of the Dukes of Normandy (<Dukes of Normandy Count>/7 objectives)\nRaid and settle in northern Francia."
396414 "   Recruited Hrolf the Ganger."
396415 "   Recruited Hasteinn."
396416 "   Destroyed the Frankish fleet."
396417 "   Sacked Rouen."
396418 "   Sacked Rennes."
396419 "   Built a settlement in Francia."
396420 "   Killed Robert the Strong."
396421 "\nQuest: Chronicle of Novgorod (<Novgorod Count>/5 objectives)\nExplore and settle in the east."
396422 "   Recruited Rurik the Troublemaker."
396423 "   Captured Holmgård and Kœnugarðr."
396424 "   Built a settlement in Garðaríki."
396425 "   Established a trade route to Garðaríki."
396426 "   Destroyed the nomad camps."
396427 "--Hordaland Captured--"
396428 "--Vestfold Captured--"
396429 "--Lade Captured--"
396430 "--Jutland Captured--"
396431 "--Ribe Captured--"
396432 "--Hedeby Captured--"
396433 "--Roskilde Captured--"
396434 "--Västergötland Captured--"
396435 "--Småland Captured--"
396436 "--Bergslagen Captured--"
396437 "--Uppland Captured--"
396438 "--Shetland Settled--"
